GEOID,STATEFP,STATE,COUNTYFP,COUNTY,POP_25OV22,N_HSDIP22,HS_DIP22,SOM_COLL22,ASSO_DEG22,BACH_DEG22,MAST_DEG22,PROF_DEG22,DOCT_DEG22
26163518900,26, Michigan,163, Wayne County,1247,272,363,360,77,63,96,0,16
26163519000,26, Michigan,163, Wayne County,691,68,302,144,21,138,18,0,0
26163519100,26, Michigan,163, Wayne County,855,142,367,233,23,49,35,6,0
26163519200,26, Michigan,163, Wayne County,1162,168,465,192,60,257,13,0,7
26163519300,26, Michigan,163, Wayne County,1284,269,328,386,85,139,19,58,0
26163520200,26, Michigan,163, Wayne County,828,18,29,99,23,295,304,19,41
26163520300,26, Michigan,163, Wayne County,1566,76,416,129,77,570,228,28,42
26163520400,26, Michigan,163, Wayne County,887,182,298,187,21,146,36,9,8
26163520700,26, Michigan,163, Wayne County,2315,124,226,415,88,840,302,256,64
26163520800,26, Michigan,163, Wayne County,1414,8,89,360,152,238,323,144,100
26163521100,26, Michigan,163, Wayne County,1190,257,239,287,23,190,160,7,27
26163521400,26, Michigan,163, Wayne County,909,21,204,132,42,318,149,27,16
26163521500,26, Michigan,163, Wayne County,806,102,233,210,93,122,28,18,0
26163521800,26, Michigan,163, Wayne County,1289,223,351,253,196,136,51,28,51
26163521900,26, Michigan,163, Wayne County,1861,261,415,325,75,494,212,18,61
26163522000,26, Michigan,163, Wayne County,1203,458,285,244,118,86,1,11,0
26163522300,26, Michigan,163, Wayne County,979,154,504,225,30,40,26,0,0
26163522400,26, Michigan,163, Wayne County,624,85,134,159,21,209,16,0,0
26163522500,26, Michigan,163, Wayne County,1412,216,487,245,78,292,47,47,0
26163522800,26, Michigan,163, Wayne County,997,141,324,233,170,97,24,8,0
26163523100,26, Michigan,163, Wayne County,858,326,162,193,11,152,0,0,14
26163523200,26, Michigan,163, Wayne County,1449,516,475,223,87,87,50,11,0
26163523300,26, Michigan,163, Wayne County,1654,817,363,200,93,94,68,19,0
26163523400,26, Michigan,163, Wayne County,1439,478,283,255,25,227,123,0,48
26163523800,26, Michigan,163, Wayne County,2264,1117,708,287,107,19,26,0,0
26163524001,26, Michigan,163, Wayne County,1509,716,395,119,122,147,0,10,0
26163524101,26, Michigan,163, Wayne County,1992,843,737,206,138,68,0,0,0
26163524200,26, Michigan,163, Wayne County,2303,794,980,275,120,133,1,0,0
26163524300,26, Michigan,163, Wayne County,1329,559,544,123,13,55,27,8,0
26163524500,26, Michigan,163, Wayne County,66,15,17,10,24,0,0,0,0
26163524600,26, Michigan,163, Wayne County,1113,382,478,126,107,19,1,0,0
26163524700,26, Michigan,163, Wayne County,2721,323,1291,638,218,210,40,0,1
26163524800,26, Michigan,163, Wayne County,1900,216,762,577,101,171,51,0,22
26163525400,26, Michigan,163, Wayne County,1238,481,324,215,54,113,51,0,0
26163525700,26, Michigan,163, Wayne County,2693,1143,661,528,62,138,84,0,77
26163525800,26, Michigan,163, Wayne County,978,559,254,104,10,42,9,0,0
26163525900,26, Michigan,163, Wayne County,1314,658,419,151,28,21,4,11,22
26163526000,26, Michigan,163, Wayne County,1418,855,337,149,31,37,0,9,0
26163526100,26, Michigan,163, Wayne County,1384,617,438,103,56,104,52,3,11
26163526200,26, Michigan,163, Wayne County,1437,704,471,150,33,63,4,0,12
26163526300,26, Michigan,163, Wayne County,1600,862,351,229,23,135,0,0,0
26163526400,26, Michigan,163, Wayne County,866,292,382,128,2,46,0,0,16
26163526500,26, Michigan,163, Wayne County,712,122,358,118,34,80,0,0,0
26163527900,26, Michigan,163, Wayne County,1234,398,263,294,130,130,3,11,5
26163530100,26, Michigan,163, Wayne County,1974,414,554,707,143,127,18,11,0
26163530200,26, Michigan,163, Wayne County,2106,183,635,560,177,401,150,0,0
26163530300,26, Michigan,163, Wayne County,858,122,329,228,48,84,43,4,0
26163530400,26, Michigan,163, Wayne County,715,178,194,193,88,16,30,0,16
26163530500,26, Michigan,163, Wayne County,1290,119,299,387,101,245,119,20,0
26163530800,26, Michigan,163, Wayne County,842,199,323,154,85,39,42,0,0
26163530900,26, Michigan,163, Wayne County,916,216,276,179,181,44,20,0,0
26163531100,26, Michigan,163, Wayne County,883,75,393,327,32,48,8,0,0
26163531200,26, Michigan,163, Wayne County,1851,151,362,501,142,295,297,64,39
26163531300,26, Michigan,163, Wayne County,909,206,251,231,99,15,99,0,8
26163531400,26, Michigan,163, Wayne County,1001,114,312,315,36,180,44,0,0
26163531501,26, Michigan,163, Wayne County,914,43,393,378,61,0,39,0,0
26163531502,26, Michigan,163, Wayne County,470,67,112,170,22,56,43,0,0
26163531600,26, Michigan,163, Wayne County,1171,139,390,338,131,118,28,27,0
26163531700,26, Michigan,163, Wayne County,837,163,351,214,99,10,0,0,0
26163531800,26, Michigan,163, Wayne County,1054,133,421,397,36,34,25,8,0
26163531900,26, Michigan,163, Wayne County,459,42,226,96,30,54,11,0,0
